taxonID,description,type,language
101899,Tropical Atlantic,native range,en
102005,Temperate Northern Atlantic (Cold Temperate Northwest Atlantic),native range,en
103551,Temperate Northern Atlantic,native range,en
103552,Temperate Northern Atlantic,native range,en
103554,Tropical Atlantic,native range,en
103604,Temperate Northern,native range,en
103604,Atlantic Tropical Atlantic,native range,en
103606,Tropical Atlantic,native range,en
103608,Temperate Northern Atlantic,native range,en
103647,Temperate Northern Atlantic,native range,en
103706,Tropical Atlantic,native range,en
103718,Temperate Northern Atlantic,native range,en
103732,Temperate Northern Atlantic,native range,en
103862,Uncertain,native range,en
104262,Tropical Atlantic,native range,en
106223,Central Indo-Pacific,native range,en
107379,Temperate Northern Atlantic,native range,en
111158,Uncertain,native range,en
117313,Temperate Northern Atlantic,native range,en
117428,Temperate Northern Atlantic (Black Sea),native range,en
122885,Temperate Northern Pacific,native range,en
127054,Temperate Northern Atlantic,native range,en
130881,Western Indo-Pacific,native range,en
130902,Temperate Southern Africa,native range,en
133214,Tropical Atlantic,native range,en
133445,Temperate Northern Atlantic,native range,en
138963,Temperate Northern Atlantic,native range,en
144438,Temperate Australasia,native range,en
144439,Temperate Australasia,native range,en
144442,Temperate Northern Pacific,native range,en
144488,Western Indo-Pacific,native range,en
144505,Temperate Northern Pacific,native range,en
144511,Temperate South America,native range,en
144512,Temperate Australasia,native range,en
144521,Temperate Northern Pacific,native range,en
145091,Tropical Atlantic,native range,en
145221,Western Indo-Pacific,native range,en
145297,Temperate Northern Pacific,native range,en
145856,Temperate Northern Pacific,native range,en
148715,Temperate Northern Pacific,native range,en
159313,Temperate Northern Atlantic,native range,en
163275,Temperate South America,native range,en
163275,Temperate Australasia,native range,en
173223,Southern Ocean,native range,en
181032,Temperate Australasia,native range,en
181580,Central Indo-Pacific,native range,en
182695,Tropical Eastern Pacific,native range,en
211739,Western Indo-Pacific,native range,en
214070,Temperate Northern Pacific,native range,en
232221,Temperate Northern Pacific,native range,en
233434,Temperate Northern Pacific,native range,en
234137,Temperate South America,native range,en
236551,Western Indo-Pacific,native range,en
241175,Temperate Northern Atlantic,native range,en
249981,Tropical Atlantic,native range,en
250126,Temperate Northern Pacific,native range,en
252278,Central Indo-Pacific,native range,en
252289,Tropical Atlantic,native range,en
252565,Temperate Northern Pacific,native range,en
370562,Temperate Northern Pacific,native range,en
394848,Temperate Northern Pacific,native range,en
394868,Temperate Northern Pacific,native range,en
394868,Tropical Eastern Pacific,native range,en
395098,Western Indo-Pacific,native range,en
395099,Temperate Northern Pacific,native range,en
397026,Temperate Northern Atlantic,native range,en
421070,Tropical Atlantic,native range,en
421137,Central Indo-Pacific,native range,en
421138,Tropical Atlantic,native range,en
421139,Temperate South America,native range,en
430999,Temperate Northern Atlantic,native range,en
468256,Central Indo-Pacific,native range,en
488687,Central Indo-Pacific,native range,en
494896,Temperate Australasia,native range,en
496188,Temperate Northern Pacific,native range,en
505946,Temperate Northern Pacific,native range,en
512207,Tropical Atlantic,native range,en
573293,Temperate Northern Pacific,native range,en
624303,Temperate Australasia,native range,en
712167,Temperate Australasia,native range,en
717572,Temperate Northern Atlantic,native range,en
730437,Temperate South America,native range,en
834016,Temperate Northern Atlantic,native range,en
834018,Temperate Northern Atlantic,native range,en
834018,Tropical Atlantic,native range,en
836896,Temperate Northern Pacific,native range,en
848025,Temperate South America,native range,en
851581,Tropical Atlantic,native range,en
851589,Temperate Northern Atlantic,native range,en
888425,Tropical Atlantic,native range,en
888427,Temperate Northern Atlantic,native range,en
